短剧,#genre# 
剑豪-全,https://v8.mzxay.com/202407/15/uBuxT4vUft14/video/index.m3u8 
王的女人-全,https://v8.qrssv.com/202409/15/RDRBSUiz3c14/video/index.m3u8 
大佬娇妻惹不得-全,https://v10.qrssv.com/202409/15/Z9cRCV5HVv3/video/index.m3u8 
大夏武魂-全,https://v5.qrssv.com/202409/15/F4U6yqX7cH7/video/index.m3u8 
镇国主宰-全,https://v5.qrssv.com/202409/15/4RDST5VVWJ7/video/index.m3u8 
风起密藏-全,https://v5.qrssv.com/202409/15/TUraMyVEn77/video/index.m3u8 
舔狗我不当了我要追校草-全,https://v91.qrssv.com/202409/18/fbrgPUSrYy15/video/index.m3u8 
传奇年代-全,https://v5.qrssv.com/202409/15/k0Ersp6PwA7/video/index.m3u8 
弑神殿之天地共主-全,https://v11.qrssv.com/202409/15/R50Xb533XE8/video/index.m3u8 
练气3000层，开局收女帝为徒-全,https://v10.qrssv.com/202409/06/YZvtVhHGqq3/video/index.m3u8 
回春圣手-全完结,https://play.hhuus.com/play/Yer48n2b/index.m3u8 
婚礼上婆婆惊艳全场-全完结,https://play.hhuus.com/play/wdLoK7Xb/index.m3u8 
衣锦还乡时-全,https://v6.qrssv.com/202409/20/Dw3nSgAxJn12/video/index.m3u8 
红豆相思-全,https://v9.qrssv.com/202409/20/26ar0Qx7Eg18/video/index.m3u8 
狂飙之天降巨富-全,https://v11.qrssv.com/202409/17/hTTmvP4Fx88/video/index.m3u8 
超级奶爸之扭转乾坤-全,https://v8.qrssv.com/202409/15/LJsDga8TZz14/video/index.m3u8 
我的千金身份被老爸曝光了-全,https://v11.qrssv.com/202409/15/W169F1AsAr8/video/index.m3u8
超能萌宝神助攻-全,https://v2.qrssv.com/202409/19/XhAiMmukRJ10/video/index.m3u8 
古今横跳戏诸侯-全,https://v91.mzxay.com/202405/02/6WSSimqAnc15/video/index.m3u8 
吞龙-全,https://bfikuncdn.com/20240204/Lv937Y3y/index.m3u8 
惊蛰-全,https://cdn.wlcdn99.com:777/c95ae5b2/index.m3u8 
听妈妈的话-全,https://v2.qrssv.com/202409/24/Yi26JZdmXG10/video/index.m3u8 
豪门第一继承人-全,https://v6.qrssv.com/202409/24/LEjtnc9kJZ12/video/index.m3u8 
无双帝君-全,https://v11.qrssv.com/202409/23/3zJh4xvt2C8/video/index.m3u8 
父可敌国我的老爹是大佬-全,https://v2.qrssv.com/202409/23/mm0U3jm0Eh10/video/index.m3u8 
黑神话之大夏无神,https://hd.ijycnd.com/play/YaOrr9ge/index.m3u8 
我的教师父亲竟是大佬,https://hd.ijycnd.com/play/YerwwRpa/index.m3u8 
新鱼跃龙门,https://hd.ijycnd.com/play/yb85Jold/index.m3u8 
师恩父子情,https://hd.ijycnd.com/play/qaQwyG9d/index.m3u8 
我离世后妈妈后悔了,https://hd.ijycnd.com/play/PdyENpnd/index.m3u8 
落入她掌中,https://hd.ijycnd.com/play/QeZJQpJe/index.m3u8 
云深无归处,https://hd.ijycnd.com/play/YerwrQ2a/index.m3u8 
程爷的小野猫,https://hd.ijycnd.com/play/QeZJB4we/index.m3u8 
我是龙王也是医圣-第1_20集,https://hd.ijycnd.com/play/nelnoxrb/index.m3u8 
我是龙王也是医圣-第21_40集,https://hd.ijycnd.com/play/rb25mxNa/index.m3u8 
我是龙王也是医圣-第41_60集,https://hd.ijycnd.com/play/DdwBDmMb/index.m3u8 
我是龙王也是医圣61_84集完结,https://hd.ijycnd.com/play/Yerwx8Ka/index.m3u8 
父亲的逆袭人生-全集,https://v10.qrssv.com/202409/18/pXrH66ccMu3/video/index.m3u8 
武林盟主来打工-全集,https://v9.qrssv.com/202409/18/MTkpcDUP4s18/video/index.m3u8 
重生之飞驰人生2004-全集,https://v8.qrssv.com/202409/15/kuKc6wikSP14/video/index.m3u8 
重返1994，我替妈妈逆天改命-全集,https://v91.qrssv.com/202409/17/NipDgmMyiV15/video/index.m3u8 
千金，你的老公是将军-全集,https://v91.qrssv.com/202409/17/caVEjAsVHN15/video/index.m3u8 
传奇年代-全集,https://v5.qrssv.com/202409/15/k0Ersp6PwA7/video/index.m3u8 
全网黑的我靠综艺逆袭成CP之王-全集,https://v9.qrssv.com/202409/15/QJDRtXa2kv18/video/index.m3u8 
末日重生之嫁给渣男死对头&全球冰封后我重生了-全集,https://v9.qrssv.com/202409/15/jAqM9k06tb18/video/index.m3u8 
王府一等家丁-全集,https://v9.qrssv.com/202409/15/gcNUHSKgTT18/video/index.m3u8 
神级豪门女婿-全,https://s10.fsvod1.com/20240519/3hh9RejN/index.m3u8 
我的狂飙人生-全,https://v10.dious.cc/20240502/XarGm5hj/index.m3u8 
许你万千宠爱-全,https://v10.dious.cc/20240502/vY9STbTt/index.m3u8 
惊蛰-全,https://v10.dious.cc/20240421/xVSvCNaH/index.m3u8 
我家老公是大佬-全,https://s10.fsvod1.com/20240522/kqC8AUrV/index.m3u8 
花间传奇-全,https://s10.fsvod1.com/20240329/cOC20YSq/index.m3u8 
至尊-全,https://s10.fsvod1.com/20240507/RWeQlWLi/index.m3u8 
老娘我风风光光来认错-全,https://v10.dious.cc/20240423/ObNUkDlV/index.m3u8 
完蛋！我被桃花包围了-全,https://v10.dious.cc/20240429/pKmAtZ8i/index.m3u8 
保安老爸傲视群雄-全,https://v10.dious.cc/20240417/sBGuLZjp/index.m3u8 
秦总，夫人在找你离婚-全,https://v12.tlkqc.com/wjv12/202408/22/EmVD9Z5JUL84/video/index.m3u8 
女霸总的贴身将军-全,https://v12.fentvoss.com/sdv12/202408/22/3X9WZ7qGvf8/video/index.m3u8 
替身女配拿稳白月光剧本-全集,https://v11.qrssv.com/202409/11/Uu9rYw44rX8/video/index.m3u8 
离婚后，她该死的有魅力-全集,https://v11.tlkqc.com/wjv11/202409/11/vV2UUheamJ83/video/index.m3u8 
离婚后我被前夫舅舅宠上天-全集,https://v2.tlkqc.com/wjv2/202409/11/XAHWGhTpDQ74/video/index.m3u8 
一夜荒唐美女总裁带5娃找上门,https://v5.qrssv.com/202409/11/Gc2A6rcjjL7/video/index.m3u8 
亲亲后我对顾总上头了-全集,https://v9.qrssv.com/202409/11/JaEBZnwa6Q18/video/index.m3u8 
因爱成囚短剧版-全集,https://v5.qrssv.com/202409/11/jfK6cP2UTt7/video/index.m3u8 
逆命神医(96集),https://vd3.bdstatic.com/mda-peds8afg0055s0nh/720p/h264/1684091269327297304/mda-peds8afg0055s0nh.mp4 
满月之下请相爱(100集),https://vd3.bdstatic.com/mda-pedkenasrhs239n2/sc/cae_h264/1684169079399702313/mda-pedkenasrhs239n2.mp4 
落在生命里的光(100集),https://vd3.bdstatic.com/mda-pedgk34za4i2wsk4/720p/h264/1684066802676530455/mda-pedgk34za4i2wsk4.mp4 
老街中的痞子(79集),https://vd3.bdstatic.com/mda-pedd0pjr3d230d6a/sc/cae_h264/1684151422563021066/mda-pedd0pjr3d230d6a.mp4 
绝世龙帅(100集),https://vd3.bdstatic.com/mda-pectb75a7wb5zsgu/720p/h264/1684008093774139159/mda-pectb75a7wb5zsgu.mp4 
浪子情仇(81集),https://vd3.bdstatic.com/mda-pecpz9ti97u1z825/720p/h264/1683998885326452646/mda-pecpz9ti97u1z825.mp4 
昆仑强者(80集),https://vd3.bdstatic.com/mda-peck0hfux97mrc79/720p/h264/1683988862148442153/mda-peck0hfux97mrc79.mp4 
狂医战神（100集）,https://vd3.bdstatic.com/mda-pecipvturq4mgv6g/sc/cae_h264/1684084270058079228/mda-pecipvturq4mgv6g.mp4  
短剧系列（一）,#genre# 
都市绝代神豪（100集）,https://vd3.bdstatic.com/mda-pe9eqrb4tadeeq8u/sc/cae_h264/1683775782275951628/mda-pe9eqrb4tadeeq8u.mp4
 都市药王医仙（61集）,https://vd4.bdstatic.com/mda-pe9p7t88g3zwkn0w/sc/cae_h264/1683812630561498452/mda-pe9p7t88g3zwkn0w.mp4 
功夫医圣（80集）,https://vd2.bdstatic.com/mda-pe9qn6dabh5ppc6w/720p/h264/1683740514742579726/mda-pe9qn6dabh5ppc6w.mp4 
古董风云（50集）,https://vd2.bdstatic.com/mda-pe9r3itz1thdrm9i/sc/cae_h264/1683796097451505310/mda-pe9r3itz1thdrm9i.mp4 
九天龙婿（100集）,https://vd3.bdstatic.com/mda-pearanim35vri65p/sc/cae_h264/1683912779273117359/mda-pearanim35vri65p.mp4 
九境霸主（113集）,https://vd2.bdstatic.com/mda-peasdcyvjkdf5nn6/720p/h264/1683833678473112939/mda-peasdcyvjkdf5nn6.mp4 
巨富之回家过年（70集）,https://vd3.bdstatic.com/mda-pebudunbwkk5zbda/sc/cae_h264/1684006305257028126/mda-pebudunbwkk5zbda.mp4 
绝世殿主下山（110集）,https://vd2.bdstatic.com/mda-peccf0m7th05413e/720p/h264/1683970435027956651/mda-peccf0m7th05413e.mp4 
短剧系列（二）,#genre# 
