QQ群334597477,#genre#
战火中的青春,https://m3u8i.vodfile.m1905.com/202301081213/ac60f85c5e26bf38543d42da452c5c23/movie/2018/03/05/m20180305OESWJXZWNIUDS49X/37FEDC9A8DC088601DA9D5F23.m3u8#http://alimov6.a.yximgs.com/ksc1/hRabsJoyqsMxcwnzmAEfPKopBT941tdD7HMA42EfzV3f9cfJLwwW73HyzFQibxEwvm_44IaH3ryiWbBQMOY-pfRj-UndNPjyq7lzY4c85uarWGDW6AE4JtUv3RhpO8M1n7i-GR1pPp3WYQBr0pSS4JZ7GzSnLxbgx9wZbIdhZ7M0-eb6C6gTQQf6kPiadzIK.mp4?tag=1-1739095099-unknown-0-5967be10b83044ab-3d4b358efb604372&clientCacheKey=3x3vbeymiyi4seu_b.mp4&tt=b&di=df65dddc&bp=11851&from=1011851
永不消失的电波,https://m3u8i.vodfile.m1905.com/202301081218/e6fab0276202cb511ec9a94d5475f149/movie/2014/10/08/m2014100869HWAK2DU3VHOJYZ/m2014100869HWAK2DU3VHOJYZ.m3u8#http://alimov6.a.yximgs.com/ksc1/hRabsJoyqsMxcwnzmAEfPKopBT941tdD7HMA42EfzV3f9cfJLwwW73HyzFQibxEwvm_44IaH3ryiWbBQMOY-pfRj-UndNPjyq7lzY4c85uarWGDW6AE4JtUv3RhpO8M1n7i-GR1pPp3WYQBr0pSS4JZ7GzSnLxbgx9wZbIdhZ7M0-eb6C6gTQQf6kPiadzIK.mp4?tag=1-1739095099-unknown-0-5967be10b83044ab-3d4b358efb604372&clientCacheKey=3x3vbeymiyi4seu_b.mp4&tt=b&di=df65dddc&bp=11851&from=1011851
智取华山,https://m3u8i.vodfile.m1905.com/202301081221/e45c9400b275a2cda8afa670583d196a/movie/2018/04/16/m20180416O4ZDB1J0TF6TB7QF/0009476B016636E45F46EBB8E.m3u8#http://alimov6.a.yximgs.com/ksc1/hRabsJoyqsMxcwnzmAEfPKopBT941tdD7HMA42EfzV3f9cfJLwwW73HyzFQibxEwvm_44IaH3ryiWbBQMOY-pfRj-UndNPjyq7lzY4c85uarWGDW6AE4JtUv3RhpO8M1n7i-GR1pPp3WYQBr0pSS4JZ7GzSnLxbgx9wZbIdhZ7M0-eb6C6gTQQf6kPiadzIK.mp4?tag=1-1739095099-unknown-0-5967be10b83044ab-3d4b358efb604372&clientCacheKey=3x3vbeymiyi4seu_b.mp4&tt=b&di=df65dddc&bp=11851&from=1011851
野火春风斗古城,https://m3u8i.vodfile.m1905.com/202301081514/3a589d981260a7c6da375c45abbbea72/movie/2019/03/21/m20190321Y4PH1UB7HU5PUOOQ/8EEBFB817DFC5EB9370966485.m3u8#http://alimov6.a.yximgs.com/ksc1/hRabsJoyqsMxcwnzmAEfPKopBT941tdD7HMA42EfzV3f9cfJLwwW73HyzFQibxEwvm_44IaH3ryiWbBQMOY-pfRj-UndNPjyq7lzY4c85uarWGDW6AE4JtUv3RhpO8M1n7i-GR1pPp3WYQBr0pSS4JZ7GzSnLxbgx9wZbIdhZ7M0-eb6C6gTQQf6kPiadzIK.mp4?tag=1-1739095099-unknown-0-5967be10b83044ab-3d4b358efb604372&clientCacheKey=3x3vbeymiyi4seu_b.mp4&tt=b&di=df65dddc&bp=11851&from=1011851
铁道游击队,https://m3u8i.vodfile.m1905.com/202301081517/9a53472e25ea22235659776300ee6487/movie/2022/09/13/m20220913RQEJ0TKJNE1O5KMX/08357292D64AC9EF03C581F96.m3u8#http://alimov6.a.yximgs.com/ksc1/hRabsJoyqsMxcwnzmAEfPKopBT941tdD7HMA42EfzV3f9cfJLwwW73HyzFQibxEwvm_44IaH3ryiWbBQMOY-pfRj-UndNPjyq7lzY4c85uarWGDW6AE4JtUv3RhpO8M1n7i-GR1pPp3WYQBr0pSS4JZ7GzSnLxbgx9wZbIdhZ7M0-eb6C6gTQQf6kPiadzIK.mp4?tag=1-1739095099-unknown-0-5967be10b83044ab-3d4b358efb604372&clientCacheKey=3x3vbeymiyi4seu_b.mp4&tt=b&di=df65dddc&bp=11851&from=1011851
平原游击队,https://m3u8i.vodfile.m1905.com/202301081519/579f7f062418dbb8af38980dfadd855b/movie/2021/05/13/m20210513GBJ6244OBQG60A2J/6AD548E16D205F24B3EE68902.m3u8#http://alimov6.a.yximgs.com/ksc1/hRabsJoyqsMxcwnzmAEfPKopBT941tdD7HMA42EfzV3f9cfJLwwW73HyzFQibxEwvm_44IaH3ryiWbBQMOY-pfRj-UndNPjyq7lzY4c85uarWGDW6AE4JtUv3RhpO8M1n7i-GR1pPp3WYQBr0pSS4JZ7GzSnLxbgx9wZbIdhZ7M0-eb6C6gTQQf6kPiadzIK.mp4?tag=1-1739095099-unknown-0-5967be10b83044ab-3d4b358efb604372&clientCacheKey=3x3vbeymiyi4seu_b.mp4&tt=b&di=df65dddc&bp=11851&from=1011851
奇袭,https://m3u8i.vodfile.m1905.com/202301081522/85a8d4a7ce05e57cf4419ef01adead25/movie/2014/10/08/m201410084RT4OOKFJONPJNRW/m201410084RT4OOKFJONPJNRW.m3u8#http://alimov6.a.yximgs.com/ksc1/hRabsJoyqsMxcwnzmAEfPKopBT941tdD7HMA42EfzV3f9cfJLwwW73HyzFQibxEwvm_44IaH3ryiWbBQMOY-pfRj-UndNPjyq7lzY4c85uarWGDW6AE4JtUv3RhpO8M1n7i-GR1pPp3WYQBr0pSS4JZ7GzSnLxbgx9wZbIdhZ7M0-eb6C6gTQQf6kPiadzIK.mp4?tag=1-1739095099-unknown-0-5967be10b83044ab-3d4b358efb604372&clientCacheKey=3x3vbeymiyi4seu_b.mp4&tt=b&di=df65dddc&bp=11851&from=1011851
秘密图纸,https://m3u8i.vodfile.m1905.com/202301081527/88cd5ec336d664755aa7afb3bc0569b9/movie/2014/06/23/m201406232OPIL7PLRBE651XD/m201406232OPIL7PLRBE651XD.m3u8#http://alimov6.a.yximgs.com/ksc1/hRabsJoyqsMxcwnzmAEfPKopBT941tdD7HMA42EfzV3f9cfJLwwW73HyzFQibxEwvm_44IaH3ryiWbBQMOY-pfRj-UndNPjyq7lzY4c85uarWGDW6AE4JtUv3RhpO8M1n7i-GR1pPp3WYQBr0pSS4JZ7GzSnLxbgx9wZbIdhZ7M0-eb6C6gTQQf6kPiadzIK.mp4?tag=1-1739095099-unknown-0-5967be10b83044ab-3d4b358efb604372&clientCacheKey=3x3vbeymiyi4seu_b.mp4&tt=b&di=df65dddc&bp=11851&from=1011851
林海雪原,https://m3u8i.vodfile.m1905.com/202301081530/3033d059712c9831d28ea7841966c51c/movie/2019/09/12/m20190912OU2B2SNPO6F74KGQ/2A5C28388CA394F833F1B61B0.m3u8#http://alimov6.a.yximgs.com/ksc1/hRabsJoyqsMxcwnzmAEfPKopBT941tdD7HMA42EfzV3f9cfJLwwW73HyzFQibxEwvm_44IaH3ryiWbBQMOY-pfRj-UndNPjyq7lzY4c85uarWGDW6AE4JtUv3RhpO8M1n7i-GR1pPp3WYQBr0pSS4JZ7GzSnLxbgx9wZbIdhZ7M0-eb6C6gTQQf6kPiadzIK.mp4?tag=1-1739095099-unknown-0-5967be10b83044ab-3d4b358efb604372&clientCacheKey=3x3vbeymiyi4seu_b.mp4&tt=b&di=df65dddc&bp=11851&from=1011851
洪湖赤卫队,https://m3u8i.vodfile.m1905.com/202301081543/9e7eed8c3cd5e21e1384fbeec4eed9f1/movie/2018/04/02/m20180402OPHHPMYYYY3DYK4O/D83F579773A2428A394EA0565.m3u8#http://alimov6.a.yximgs.com/ksc1/hRabsJoyqsMxcwnzmAEfPKopBT941tdD7HMA42EfzV3f9cfJLwwW73HyzFQibxEwvm_44IaH3ryiWbBQMOY-pfRj-UndNPjyq7lzY4c85uarWGDW6AE4JtUv3RhpO8M1n7i-GR1pPp3WYQBr0pSS4JZ7GzSnLxbgx9wZbIdhZ7M0-eb6C6gTQQf6kPiadzIK.mp4?tag=1-1739095099-unknown-0-5967be10b83044ab-3d4b358efb604372&clientCacheKey=3x3vbeymiyi4seu_b.mp4&tt=b&di=df65dddc&bp=11851&from=1011851
